Sak;Märke;Användningsområde;Kommentar
Dyckertpistol;Biltema;Fästa lister, innepanel, spåntad takpanel. Ej för bärande;Tryckluftsdriven, kräver kompressor med minst 5-6 bar
Färg/cementblandare;Jula;Handhållen blandare för blandning i hink. ;Funkar för typ 20 liter hink. Perfekt för flyspackel men funkar för betong.
Sänksåg på skena;Jula;Cirkelsåg där det finns skena som gör att man kan såga lång och rak linje;Skenan är 120 cm (tror jag)
Tigersåg;Vet knappt;Riva väggar;Risig och gammal såg. Ingen precition men perfekt om man ska riva väggar
Sticksåg;Ryobi;Finsåga tunnare träsmaterial;Precition beror på blad
Popnittång;Biltema;Fästa saker med popnitar;Handhållen, manuell
Bordsåg;Clas Ohlson;Såga skivor, klyva brädor;Lite otymplig, kanske går in i kombi med fälda säten annars släp
Hålsågssats;Bacho;Borra hål, främst för trä men funkar nog på mjukare metall också;Storlek från ca 20 mm till 70 mm
Hålsåg betong;?;Borra hål i betong 50 mm;
Slagborrmaskin;;Borrmaskin… eldriven;Bra men har svårt i tuff betong
Kompostkvarn;Biltema;Tuggar i sig det mesta, grenar upp till 3-4 cm i diameter inga problem;
Motorsåg;Partner;Såga ner träd;Gammal och svårstartad men när den väl är varm funkar den bra
Långt vattenpass;Stanley;180 cm, noggranhet +- 0,2 mm /m;
Vinkelslip;Biltema;Kapa/slipa metall;Standardskivor passar. Välj klinga efter material att kapa.
Multisåg;Jula;Precitionssåga saker som sitter fast, typ fastsatta lister;Stjärnkoppling. Bosch-klingor passar. 
Fettspruta;?;Spruta in smörjfett i nipplar;
Lasermätare;Clas Ohlson;Avståndsmätning längre stäckor;Funkar mellan 0-100 m, osäker på noggranhet men helt ok.
Krysslaser;Clas Ohlson;Lodrät och vågrät laserlinje;Har den på kamerastativ då jag tycker den gör mest nytta så.
